#{"t_start": 1781337065.3056693, "env_id": "None"}
r,l,t
-4.936311,3600,3221.954514
-8.953713,3600,3251.209778
-19.26823,3600,3280.937271
-21.102855,3600,3310.107802
-3.407837,3600,3337.983457
-7.227904,3600,3363.149022
-17.714629,3600,3388.524892
-2.897561,3600,3413.238736
-7.860453,3600,3437.718127
-52.103837,3600,3462.069264
-10.846851,3600,3486.765194
-290.411937,3600,3511.902043
-37.607249,3600,3536.455342
-3.901786,3600,3561.360782
-4.986648,3600,3585.270841
-6.89798,3600,3610.059049
-2.956625,3600,3634.297881
-13.999589,3600,3661.227625
-2.862541,3600,3686.811598
-6.392301,3600,3714.523383
-8.370783,3600,3742.109275
-1.729789,3600,3769.266363
-12.42451,3600,3796.247666
-25.178176,3600,3823.659626
-12.647961,3600,3851.132558
-42.865189,3600,3876.464643
-112.80855,3600,3901.925499
-4.727673,3600,3927.611523
-4.464741,3600,3952.904434
0.209001,3600,3978.387098
-77.297557,3600,4003.866917
-9.19071,3600,4029.650281
-87.522135,3600,4055.119434
-13.985972,3600,4080.476665
-3.620668,3600,4105.747622
-8.738159,3600,4131.265307
-83.871181,3600,4156.993468
-9.039481,3600,4182.567732
-5.350631,3600,4208.076163
-17.281398,3600,4233.537642
-0.582544,3600,4259.31541
-169.878308,3600,4284.830147
-109.943456,3600,4310.288129
-6.325288,3600,4335.983832
-5.614829,3600,4361.423415
-3.031583,3600,4387.373888
0.436474,3600,4412.846698
-0.044465,3600,4438.175074
-39.709198,3600,4463.29728
-6.557599,3600,4488.942977
-8.785986,3600,4514.597632
-0.060907,3600,4540.006113
-6.693221,3600,4565.926373
-1.478589,3600,4591.24982
-2.445334,3600,4616.880117
-0.91094,3600,4636.079322
-13.132235,3600,4652.828581
-42.278363,3600,4670.230642
-0.084946,3600,4689.077003
-29.858373,3600,4708.081736
-33.301222,3600,4727.143317
-7.033477,3600,4746.146278
-19.210161,3600,4765.457219
-10.66512,3600,4784.385037
0.374612,3600,4803.236104
-28.782931,3600,4822.423497
-30.120675,3600,4841.414689
-6.591373,3600,4860.647315
-266.740542,3600,4879.66213
-28.780347,3600,4898.543646
-12.386596,3600,4918.113349
-3.378438,3600,4937.145421
-5.220769,3600,4956.332866
-1601.52991,3600,4975.887697
-17.379524,3600,4995.325149
-7.128769,3600,5014.164833
-9.606906,3600,5032.592382
-103.397506,3600,5052.008705
-5.790964,3600,5071.208211
-13.253626,3600,5090.37849
-55.839762,3600,5109.798037
-12.782701,3600,5129.239877
-274.727957,3600,5148.583514
-13.329668,3600,5167.839067
-23.302539,3600,5186.792746
-15.619277,3600,5205.892805
-13.140895,3600,5224.632707
-71.943813,3600,5243.380035
-257.919298,3600,5262.111318
-27.910144,3600,5280.872346
-31.732662,3600,5299.982901
-100.40088,3600,5319.06858
-151.013714,3600,5338.336254
-9.926633,3600,5357.384752
-8.029246,3600,5376.413086
-4.720015,3600,5395.371382
-8.177676,3600,5414.627476
-4.981173,3600,5433.924425
-16.73525,3600,5453.048483
-3.184707,3600,5471.656995
-5.602662,3600,5490.823511
-129.026941,3600,5510.051186
-41.719116,3600,5528.728046
-11.499136,3600,5547.474343
-35.334338,3600,5566.502195
-31.193695,3600,5585.321248
-73.774432,3600,5604.662155
-35.396693,3600,5623.976181
1.08604,3600,5642.789342
-62.707552,3600,5661.659148
-21.901181,3600,5680.784299
-2.709702,3600,5699.791319
-12.291514,3600,5718.801708
-13.628664,3600,5738.058539
-86.406013,3600,5757.480127
-303.0908,3600,5776.37937
-6.661918,3600,5795.409508
-3.229454,3600,5814.121934
-1.490232,3600,5833.044449
-16.323332,3600,5851.675124
-23.878088,3600,5870.781945
-7.246258,3600,5889.61393
-1683.709768,3600,5908.735315
-14.094858,3600,5927.547055
-9.885668,3600,5946.636463
-3.292906,3600,5965.212591
-6.427214,3600,5984.312115
-12.647721,3600,6002.589761
-8.046447,3600,6021.177997
-67.042934,3600,6039.811578
-24.836897,3600,6058.437585
-16.36928,3600,6077.154771
-0.851491,3600,6095.822456
-13.154054,3600,6115.169219
-11.329519,3600,6134.273579
-16.478861,3600,6153.80042
-23.765065,3600,6173.267825
-254.491157,3600,6192.750569
-10.294552,3600,6211.791462
-14.784537,3600,6230.718271
-25.123965,3600,6250.538103
-33.584593,3600,6269.693706
-206.705136,3600,6289.271956
2.898723,3600,6308.408065
-6.628626,3600,6327.897924
-291.393858,3600,6354.11214
-0.036079,3600,6378.779794
-25.919687,3600,6403.7682
0.106465,3600,6425.659302
-0.239693,3600,6443.58343
-9.493407,3600,6461.391621
-126.699949,3600,6479.357956
-24.408917,3600,6496.93388
-13.106102,3600,6514.545761
-26.689086,3600,6532.50439
-852.574491,3600,6550.369245
-2.431103,3600,6567.917055
-25.4409,3600,6585.873207
-36.244306,3600,6603.577534
-23.30968,3600,6621.697798
-26.164429,3600,6639.453825
