#{"t_start": 1781454626.352558, "env_id": "None"}
r,l,t
-10575.583001,3600,3191.129465
-10010.355868,3600,3219.349951
-8913.820052,3600,3246.864987
-9031.030123,3600,3275.016513
-9212.157553,3600,3302.927928
-10168.989643,3600,3324.91442
-12374.592461,3600,3345.911218
-7511.979381,3600,3368.744001
-14223.790836,3600,3392.865815
-8497.066866,3600,3414.965163
-11775.143778,3600,3438.071749
-9266.553751,3600,3461.71953
-11721.948997,3600,3484.070019
-10894.373219,3600,3508.215771
-10451.681677,3600,3531.708036
-11046.888177,3600,3555.366662
-10345.600539,3600,3577.131034
-8598.831483,3600,3601.490074
-8232.271418,3600,3624.975349
-12302.037208,3600,3647.08056
-10002.59968,3600,3669.216454
-9671.905602,3600,3693.312938
-11759.58929,3600,3714.715088
-8375.420026,3600,3736.693231
-10714.131811,3600,3758.359481
-9740.92352,3600,3780.057188
-12190.338458,3600,3801.839233
-9883.346073,3600,3823.436563
-9841.755386,3600,3845.882972
-10372.888793,3600,3867.652657
-8272.488437,3600,3889.309315
-9356.669028,3600,3911.643856
-9664.214065,3600,3933.480582
-11057.543131,3600,3955.165568
-9796.336997,3600,3977.394785
-11069.80757,3600,3999.744319
-10013.591941,3600,4021.46483
-8449.346049,3600,4043.42487
-10094.755753,3600,4065.719269
-10621.340595,3600,4087.277872
-10920.523318,3600,4108.788062
-9556.229103,3600,4131.102993
-10410.761461,3600,4152.896922
-10709.83018,3600,4174.73986
-10563.550685,3600,4197.222861
-9435.642432,3600,4219.47302
-9459.417669,3600,4241.381742
-9432.544042,3600,4263.524209
-11676.624674,3600,4286.663283
-11702.663537,3600,4308.239326
-9549.981101,3600,4330.334226
-13508.559327,3600,4352.535595
-9387.04486,3600,4375.086995
-10253.993218,3600,4396.767897
-10384.656564,3600,4419.398373
-8409.827266,3600,4440.940216
-9558.362144,3600,4463.097412
-8492.160243,3600,4485.296276
-9894.233035,3600,4507.592329
-9170.191014,3600,4529.456737
-8158.234009,3600,4552.113401
-8567.70038,3600,4574.404986
-9747.157639,3600,4596.311144
-9529.971837,3600,4618.476882
-10796.75868,3600,4641.974997
-10180.198346,3600,4664.900846
-10367.386113,3600,4688.430963
-11179.662023,3600,4710.912579
-10648.554159,3600,4733.688829
-9303.608791,3600,4755.660489
-11726.216502,3600,4778.458602
-11275.440847,3600,4800.796595
-11813.532594,3600,4822.683883
-10005.096016,3600,4845.207519
-11672.60122,3600,4867.465265
-9806.69886,3600,4889.795033
-11340.155105,3600,4911.974526
-10138.311811,3600,4934.023542
-10794.048162,3600,4956.240532
-8202.437563,3600,4978.468551
-9502.311122,3600,5001.065142
-10013.569409,3600,5025.494695
-11478.941184,3600,5048.735597
-9799.35485,3600,5073.341364
-10445.111292,3600,5096.763635
-11571.638277,3600,5119.987555
-10978.806072,3600,5142.065588
-10009.194633,3600,5164.761095
-9359.878866,3600,5186.786418
-11326.070337,3600,5210.03385
-9562.224763,3600,5232.433615
-9690.499478,3600,5254.97842
-9536.27749,3600,5277.510531
-9175.605673,3600,5300.22514
-8177.313064,3600,5323.444829
-11308.220175,3600,5346.221907
-10620.056549,3600,5368.646291
-9836.78271,3600,5390.944047
-8148.707195,3600,5413.165044
-8940.756347,3600,5435.732364
-10489.935817,3600,5458.059751
-11032.575475,3600,5480.303405
-11095.072648,3600,5502.6486
-9848.973153,3600,5524.807783
-11337.418945,3600,5547.722094
-10440.510948,3600,5570.362187
-9179.093347,3600,5593.473171
-8714.724287,3600,5616.009255
-8852.421675,3600,5638.928923
-9123.506441,3600,5662.176312
-11405.976027,3600,5684.033947
-9686.943668,3600,5707.186096
-9571.032731,3600,5729.776615
-9951.50264,3600,5752.481912
-11937.447367,3600,5775.054718
-10161.115634,3600,5798.557889
-9719.338331,3600,5820.522974
-10959.533305,3600,5843.491843
-9237.614945,3600,5865.976574
-11574.220136,3600,5888.530004
-10962.808544,3600,5911.707956
-7839.558682,3600,5933.880274
-8765.63505,3600,5956.629637
-8385.83764,3600,5978.34787
-10698.999312,3600,6000.85145
-10906.161736,3600,6022.749288
-10399.731003,3600,6044.802296
-11163.56846,3600,6066.165099
-10861.594321,3600,6089.418301
-11897.995576,3600,6112.622609
-9059.540416,3600,6135.559817
-8877.483269,3600,6158.378428
