#{"t_start": 1780388528.4413064, "env_id": "None"}
r,l,t
-875.380893,3600,1188.298965
-1873.517841,3600,1201.087127
315.138769,3600,1213.826195
425.963761,3600,1226.24362
467.557163,3600,1238.695032
-2906.984344,3600,1251.377178
236.096133,3600,1263.881999
513.693835,3600,1276.380749
-6905.382576,3600,1289.083847
-102.16603,3600,1301.722577
-1859.799871,3600,1314.44838
-1217.055143,3600,1327.031893
746.772901,3600,1339.529571
766.761946,3600,1351.854924
966.22682,3600,1364.369378
-640.465852,3600,1377.115211
-267.29428,3600,1389.545905
-369.241315,3600,1402.034245
590.651385,3600,1414.513442
-1642.465028,3600,1427.319406
1061.589565,3600,1440.205192
175.437477,3600,1453.785363
863.358511,3600,1466.406981
467.896554,3600,1479.079466
181.167488,3600,1491.632483
257.962242,3600,1504.28778
353.31552,3600,1516.869416
283.433428,3600,1529.273426
-1267.635887,3600,1542.014914
475.765513,3600,1554.52129
-111.131001,3600,1567.371465
785.393873,3600,1580.004361
638.113948,3600,1592.54521
656.440272,3600,1605.035762
174.180843,3600,1617.697132
395.781251,3600,1630.491207
-376.796134,3600,1643.118319
160.20261,3600,1655.555903
546.106876,3600,1668.019253
285.056499,3600,1680.497725
375.974156,3600,1693.151049
95.858304,3600,1705.681318
476.706288,3600,1718.27184
359.478073,3600,1730.936011
116.987289,3600,1743.523098
244.028628,3600,1756.109823
250.245005,3600,1768.571303
282.123171,3600,1780.911547
284.724607,3600,1793.580885
781.230641,3600,1806.084938
392.699484,3600,1818.522507
626.467251,3600,1831.078577
587.130883,3600,1843.64494
485.971966,3600,1856.276239
882.503363,3600,1868.688346
482.372098,3600,1881.163576
719.90209,3600,1893.731273
-272.165391,3600,1906.303255
83.739349,3600,1918.716082
626.565483,3600,1931.339907
176.85419,3600,1944.083019
461.656842,3600,1956.646647
-131.620495,3600,1969.354427
228.218837,3600,1981.886494
450.270706,3600,1994.680459
-818.207799,3600,2007.645297
438.734732,3600,2020.110856
-512.060815,3600,2032.622986
673.434802,3600,2045.20664
-274.64538,3600,2057.78767
263.52309,3600,2070.365829
447.489982,3600,2083.031271
-296.806287,3600,2095.766135
168.294063,3600,2108.398179
469.023462,3600,2120.959897
304.453227,3600,2133.676192
-447.112675,3600,2146.389547
336.944795,3600,2158.876227
711.693777,3600,2171.549536
-117.893875,3600,2184.197824
361.64176,3600,2196.708276
471.020769,3600,2209.233572
781.285909,3600,2221.918895
480.566237,3600,2234.506686
-115.205761,3600,2247.135892
496.874942,3600,2259.941453
-845.733716,3600,2272.404055
-228.436499,3600,2284.956769
864.865563,3600,2298.040755
185.629201,3600,2310.50451
839.59736,3600,2323.183044
162.31381,3600,2335.859172
111.363304,3600,2348.486895
130.095597,3600,2361.586701
767.546073,3600,2374.492044
82.139293,3600,2387.143156
383.033466,3600,2399.773604
-221.328271,3600,2412.303461
673.48802,3600,2425.095569
535.647057,3600,2437.773265
217.063507,3600,2450.460357
671.777095,3600,2462.980722
521.469577,3600,2475.565537
286.855341,3600,2488.312687
484.857012,3600,2500.957697
222.24995,3600,2513.532657
415.559154,3600,2526.268148
800.022369,3600,2538.919145
234.589716,3600,2551.485922
49.541196,3600,2563.856815
366.755011,3600,2576.746202
421.937825,3600,2589.365222
319.842339,3600,2601.903518
485.46462,3600,2614.503994
277.453931,3600,2627.197422
282.357161,3600,2639.797688
-798.874324,3600,2652.577016
-132.201981,3600,2665.970705
424.448759,3600,2678.635386
-333.793279,3600,2691.200859
-276.153887,3600,2703.798149
-1926.134421,3600,2717.078621
675.947827,3600,2729.395917
-182.304405,3600,2742.34492
570.673937,3600,2754.881477
657.912706,3600,2767.607328
559.001399,3600,2780.233337
169.251333,3600,2792.774719
-190.270682,3600,2805.449638
743.087696,3600,2818.143548
626.861787,3600,2830.784666
184.786373,3600,2843.62804
787.281886,3600,2856.297157
171.605722,3600,2869.188657
4.63789,3600,2881.780762
335.129194,3600,2894.5312
-605.939123,3600,2907.180524
710.172649,3600,2920.268939
230.433293,3600,2932.740301
643.190398,3600,2945.644202
177.008057,3600,2958.517867
210.212576,3600,2971.154569
74.45237,3600,2983.883266
540.34246,3600,2996.461506
317.26255,3600,3009.077243
721.691407,3600,3021.760211
198.843427,3600,3034.444467
372.894529,3600,3047.336268
-0.774192,3600,3060.147462
-291.28522,3600,3072.909008
268.36452,3600,3085.348133
348.50776,3600,3098.099213
256.554667,3600,3110.601601
-590.347815,3600,3123.19291
552.588993,3600,3135.913333
703.458083,3600,3148.462147
378.831588,3600,3161.157607
-558.593773,3600,3173.994583
187.062516,3600,3186.494787
302.02317,3600,3199.208786
337.661152,3600,3211.596154
863.466981,3600,3224.119493
761.981344,3600,3236.590144
580.695338,3600,3248.9656
-1044.77625,3600,3261.6005
282.529574,3600,3274.124764
-40.503729,3600,3287.412431
-33.589642,3600,3300.126471
553.840265,3600,3312.792205
354.781552,3600,3325.641141
193.031014,3600,3338.745546
289.518618,3600,3351.284421
684.473326,3600,3363.795846
381.146269,3600,3376.973414
602.694079,3600,3389.522318
-517.850424,3600,3402.14228
381.74786,3600,3414.773983
850.22685,3600,3427.592466
1054.972781,3600,3440.084835
397.411124,3600,3452.693051
181.543184,3600,3465.616446
875.216904,3600,3478.246874
386.668508,3600,3490.633202
481.784246,3600,3503.25057
571.317131,3600,3515.889241
674.387689,3600,3528.524702
230.377208,3600,3541.252942
582.10732,3600,3553.742646
-133.759654,3600,3566.212005
484.122633,3600,3578.921517
570.59838,3600,3591.471817
340.995508,3600,3603.94316
198.914317,3600,3616.512618
768.107385,3600,3629.117454
