#{"t_start": 1782120639.2290294, "env_id": "None"}
r,l,t
-160.926903,3600,2822.873211
-54.253355,3600,2857.617977
-323.448759,3600,2892.604769
-141.395572,3600,2932.359066
-15.946596,3600,2964.661566
-60.524302,3600,2996.972708
-69.148818,3600,3030.369586
-77.034734,3600,3062.584332
-18.415795,3600,3097.632324
-245.33317,3600,3130.701355
-281.601846,3600,3164.226826
-123.504466,3600,3198.567898
-272.216223,3600,3234.324065
-15.750997,3600,3266.496171
-1.689984,3600,3299.346418
-72.945437,3600,3333.869154
-40.743009,3600,3366.460966
-18.345519,3600,3398.454096
-27.597524,3600,3431.459045
-74.194157,3600,3464.47113
-76.529391,3600,3496.3089
-116.904347,3600,3529.90691
-104.495098,3600,3563.26483
-33.946392,3600,3594.825471
-104.40093,3600,3627.824128
-444.545,3600,3662.668911
-114.097662,3600,3698.671616
-97.271666,3600,3735.313584
-286.45539,3600,3769.116612
-29.527858,3600,3802.802881
-22.19616,3600,3836.460234
-230.800088,3600,3871.502757
-22.382288,3600,3905.8972
-35.191181,3600,3938.752259
-37.74345,3600,3973.174942
-576.356083,3600,4009.324277
-1507.475798,3600,4046.832812
-54.907362,3600,4081.493674
-82.75712,3600,4116.794611
-20.784906,3600,4150.485797
-628.474282,3600,4187.407037
-24.559638,3600,4221.035802
-373.513423,3600,4256.470211
-210.229764,3600,4292.023583
-17.567009,3600,4325.813753
-2713.072356,3600,4364.095031
-312.72037,3600,4397.861632
-61.999176,3600,4431.399796
-107.359982,3600,4469.100545
-437.313176,3600,4507.001866
-369.947194,3600,4545.760849
-151.99642,3600,4583.72373
-195.483095,3600,4617.41049
-382.390387,3600,4654.064733
-38.431004,3600,4687.990993
-80.920998,3600,4721.28393
-10.83534,3600,4754.96631
-231.992226,3600,4791.907536
-21.848969,3600,4828.633092
-353.757888,3600,4868.172704
-106.286,3600,4907.226466
-90.697618,3600,4945.599146
-274.591202,3600,4984.581596
-432.600375,3600,5023.880421
-602.567272,3600,5062.426326
-280.151719,3600,5099.668036
-3.8176,3600,5135.320689
-33.644496,3600,5173.184627
-1369.134455,3600,5213.792499
-130.430288,3600,5246.671704
-1.918433,3600,5280.509565
-7.025919,3600,5314.422091
-50.09089,3600,5347.939856
-77.071602,3600,5382.455402
-132.158791,3600,5417.605968
-106.256201,3600,5451.953645
-14.317046,3600,5485.31977
-432.525207,3600,5521.478136
-553.135599,3600,5558.45982
-582.296468,3600,5597.314828
-10.66427,3600,5636.57314
-603.384392,3600,5680.175426
-837.934164,3600,5724.325949
-276.829392,3600,5765.656288
-253.412082,3600,5803.472328
-480.192979,3600,5843.859052
-53.849062,3600,5884.285212
-35.167089,3600,5920.565762
-9.78027,3600,5958.215817
-30.16225,3600,5995.012738
-230.469819,3600,6030.783242
-187.978074,3600,6069.461144
-578.100956,3600,6113.715733
