episode,training_timestep,episode_reward,mean_queue,max_queue,mean_waiting_time,mean_speed,total_CO2,total_NOx,total_PMx,total_fuel,arrived_vehicles,pedestrian_waiting,phase_changes,collisions,teleports
12,46800,-537.102889,11.381597222222222,135,4.497739072255391,6.736222208091472,181971755.67336452,63660.69614838637,10052.91718037432,58993008.07738137,1615,1.2108333333333334,354,5,1
13,50400,-1848.834441,17.427777777777777,170,5.97669539638048,5.349347859202242,220203901.5865513,78410.54205752793,9934.9190873612,71387588.72598565,1591,1.2630555555555556,344,7,5
14,54000,-298.087804,13.404861111111112,115,4.449788130301093,6.147431862299072,196711646.01082993,69182.35408085835,10031.421529012303,63771553.76241509,1615,1.35,335,5,4
15,57600,-1283.833226,17.726041666666667,175,5.530695629077539,5.352986480660437,226150124.4469145,80424.739112763,10033.997320876744,73315279.5439299,1616,1.6155555555555556,318,2,0
16,61200,-3043.078292,22.528125,190,6.43846096013359,4.553832639165673,256821906.42945254,92321.27913370643,9931.13238969725,83258863.72308886,1599,1.3497222222222223,312,9,0
17,64800,-44.709374,10.88298611111111,95,4.312912879899714,6.992444045950641,176772503.94727212,61678.589366329645,10090.885434430187,57307449.26457304,1619,1.5558333333333334,326,11,3
18,68400,-63.746404,8.732291666666667,70,3.5406220744534687,7.5621813466778525,163424447.6120878,56614.6655442661,10056.026746225923,52980114.3268642,1627,1.3497222222222223,322,2,1
19,72000,-1530.145415,19.731597222222224,150,6.729065038380465,4.947726336849761,235086911.52386287,83819.18073286628,10035.217273031212,76212512.8445139,1619,1.5991666666666666,310,12,3
20,75600,-948.566083,16.59201388888889,160,6.136250887899628,5.621350574249575,212315256.35653368,75183.96662968508,10038.549321806735,68830124.55645698,1610,1.5530555555555556,312,4,4
21,79200,-744.90835,11.484027777777778,190,4.043070735636388,7.146568261462253,177766681.3923973,62443.27335907251,9951.701270981164,57629796.891760916,1590,1.3597222222222223,334,4,0
22,82800,-155.240123,10.188888888888888,100,3.6915585208025,7.045621255504364,174766827.0855122,60928.058180224834,10083.879627956703,56657228.256688535,1614,1.3688888888888888,330,1,2
23,86400,-1751.996753,19.165972222222223,165,6.446049056508968,5.156075594352812,232151268.73019928,82762.70074128604,10102.820987473195,75260813.8013478,1624,1.6830555555555555,318,13,6
24,90000,-765.748654,16.989930555555556,140,5.946471985027941,5.404307365202984,218335211.24679035,77459.23326619065,10063.041389487611,70781748.26457085,1615,1.5066666666666666,308,4,2
25,93600,-208.798829,14.383333333333333,120,5.463666664425714,5.940153759366189,199743495.36813617,70383.63538588557,10076.545796905055,64754456.973664835,1615,1.4669444444444444,300,14,4
26,97200,-348.301051,15.713541666666666,110,5.502045048027458,5.701643322877396,210244716.53997356,74327.25505178791,10119.22941641065,68158863.26203014,1618,1.6991666666666667,294,8,4
27,100800,-63.863325,10.397916666666667,80,4.014855655023059,7.008245129433611,175089512.4951743,60990.424832315635,10090.169734254789,56761829.763686895,1620,1.326111111111111,328,13,1
28,104400,-235.126854,13.894097222222221,100,5.0539889709021635,6.314777345551726,195605719.70377845,68784.59845524914,10080.025816133204,63413020.922302455,1613,1.7925,294,7,5
29,108000,-57.978658,9.921527777777778,90,3.7447925090339838,7.26836852793558,172178627.17040136,59905.63598592442,10069.592891172671,55818140.97539313,1626,1.6319444444444444,326,7,3
30,111600,-2650.95525,19.881944444444443,190,6.5920728163982005,5.268573455613534,236166087.0579816,84321.62196991239,10055.83129802356,76562389.89595518,1617,1.731111111111111,309,5,4
31,115200,-46.393809,10.264236111111112,75,4.156625850937028,7.09867718765986,173234661.30497643,60307.6606128696,10087.532521601037,56160501.30291065,1620,1.8275,302,7,2
32,118800,-1179.718727,18.979861111111113,155,6.012190602702833,5.397795977268598,230223351.72660816,82001.37429922598,10087.29576310256,74635790.71848403,1623,1.7505555555555556,286,9,6
33,122400,-262.557928,14.159027777777778,120,4.997073658732681,6.295780241142301,198288647.43200916,69789.18642905039,10077.985900628382,64282800.19385521,1615,1.8427777777777778,298,24,5
34,126000,-96.896347,11.639236111111112,80,4.349317099416536,6.771203923593338,182216204.98970488,63694.629776063724,10063.075357268212,59072244.956347,1621,1.6391666666666667,310,7,1
