#{"t_start": 1781431384.0562732, "env_id": "None"}
r,l,t
-11594.751404,3600,1880.325988
-10133.470147,3600,1903.934353
-10566.057839,3600,1927.543215
-9918.282662,3600,1951.80298
-10088.385231,3600,1977.412181
-10947.911322,3600,2002.274263
-10800.685729,3600,2026.144134
-8521.818713,3600,2049.409471
-10136.500861,3600,2072.241977
-11461.538095,3600,2095.904099
-8619.408938,3600,2120.241097
-11345.639927,3600,2143.856146
-9530.151161,3600,2168.940558
-11263.299296,3600,2192.705455
-9135.786861,3600,2215.68475
-10817.413152,3600,2238.695303
-12555.403331,3600,2262.16568
-10723.568079,3600,2284.958727
-9566.747911,3600,2308.743121
-10134.157916,3600,2331.907316
-11410.274176,3600,2357.514823
-10717.775837,3600,2382.521596
-10623.417213,3600,2409.724174
-10073.43159,3600,2433.380349
-10261.400888,3600,2455.815921
-10265.522349,3600,2478.867501
-10090.205859,3600,2501.066331
-11821.154097,3600,2524.977112
-10459.990331,3600,2550.944991
-9468.903965,3600,2576.345133
-10603.725438,3600,2600.660939
-8796.694081,3600,2623.360251
-9868.901853,3600,2646.207412
-12039.450052,3600,2668.415473
-9324.33232,3600,2691.406743
-10505.582965,3600,2714.624985
-10662.068534,3600,2738.165287
-8872.006313,3600,2761.306388
-10667.538095,3600,2783.794882
-10514.458678,3600,2805.710838
-11742.812971,3600,2829.118275
-11778.385878,3600,2852.372839
-11074.304482,3600,2874.524378
-8791.009315,3600,2898.042084
-10309.207016,3600,2920.190922
-8545.783776,3600,2944.191234
-12237.931484,3600,2967.404886
-9752.020954,3600,2990.871686
-9506.185272,3600,3013.713737
-9698.981087,3600,3036.849948
-9620.305565,3600,3059.540777
-10809.496843,3600,3083.141627
-9741.996899,3600,3106.995777
-11104.234319,3600,3130.35779
-10472.587652,3600,3154.362482
-10968.789804,3600,3177.38368
-9179.250778,3600,3201.524504
-10351.8691,3600,3224.04902
-11482.931574,3600,3247.741502
-10725.360222,3600,3271.157599
-8464.318634,3600,3294.260471
-9909.688187,3600,3317.655004
-11061.83051,3600,3341.489633
-13283.644628,3600,3364.695848
-10856.891508,3600,3387.479355
-9047.353265,3600,3409.76711
-7993.672153,3600,3432.66695
-8283.257188,3600,3453.93876
-11568.943493,3600,3476.053998
-8389.794957,3600,3498.056264
-10509.208372,3600,3520.383404
-8589.980212,3600,3542.037718
-9837.661339,3600,3564.033373
-11389.320226,3600,3585.829896
-10133.605449,3600,3608.049698
-10117.503978,3600,3630.35262
-11683.697631,3600,3653.001509
-11178.979292,3600,3674.817903
-7239.64281,3600,3697.11933
-10922.589469,3600,3719.358504
-10446.697052,3600,3741.204106
-10268.174683,3600,3763.152862
-11718.153145,3600,3785.218682
-10317.39372,3600,3807.241324
-9146.319469,3600,3829.516001
-10391.587952,3600,3851.473902
-10365.370556,3600,3873.499495
-9623.19326,3600,3895.38535
-10241.648593,3600,3917.622453
-9836.179998,3600,3939.623483
-8474.435197,3600,3961.470354
-10337.926511,3600,3983.758144
-9846.631594,3600,4005.467816
-8507.658813,3600,4027.225131
-8539.714637,3600,4049.378683
-10046.950925,3600,4071.18416
-12843.149664,3600,4093.149308
-9275.51065,3600,4115.902934
-10787.974382,3600,4137.62554
-10849.208696,3600,4159.537994
-10928.274966,3600,4181.801273
-9013.440119,3600,4203.622906
-10764.969425,3600,4225.901124
-9400.573479,3600,4247.547188
-11074.818981,3600,4269.942712
-11120.965694,3600,4292.169584
-8764.951646,3600,4313.884056
-11480.401413,3600,4336.047627
-10679.587202,3600,4357.668671
-11272.020552,3600,4379.842901
-9876.274446,3600,4401.564936
-9639.266605,3600,4423.495411
-10798.89313,3600,4446.08451
-11208.843291,3600,4468.198104
-12887.856453,3600,4490.105059
-8856.976923,3600,4511.004942
-10519.155967,3600,4532.865198
